,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
2883,3570,41346,41346,0.0001528263092041,258.009360374415
2889,3580,41346,28640,0.0001542568206787,177.06336939721794
2895,3590,41346,32310,0.0001499652862548,205.4689984101749
2897,3600,41346,39600,0.0001726150512695,218.78453038674036
2904,3610,41346,41346,0.0001635551452636,241.08454810495627
2910,3620,41346,41346,0.0001626014709472,242.49853372434015
2914,3630,41346,30456,0.0001497268676757,193.9872611464968
2916,3640,41346,41346,0.0001556873321533,253.2679938744257
2924,3650,41346,34046,0.0001509189605712,215.14060031595577
2929,3660,41346,41346,0.0002152919769287,183.1495016611296
2931,3670,41346,41346,0.0001544952392578,255.22222222222223
2939,3680,41346,41346,0.0001699924468994,231.95511921458623
2941,3690,41346,41346,0.0001471042633056,268.04538087520257
2946,3700,41346,37646,0.0001471042633056,244.0583468395462
2953,3710,41346,41346,0.000173807144165,226.8641975308642
2959,3720,41346,41346,0.0001826286315917,215.9060052219321
2965,3730,41346,41346,0.0001609325408935,245.0133333333333
2969,3740,41346,41346,0.0001561641693115,252.4946564885496
2974,3750,41346,41346,0.0001587867736816,248.32432432432432
2978,3760,41346,41346,0.0001530647277832,257.60747663551405
2981,3770,41346,41346,0.0001585483551025,248.69774436090225
2986,3780,41346,37800,0.0001559257507324,231.19266055045875
2993,3790,41346,37900,0.0001537799835205,235.03875968992247
2998,3800,41346,30400,0.0001490116119384,194.56
3003,3810,41346,41346,0.0001659393310546,237.6206896551724
3009,3820,41346,22920,0.0001528263092041,143.02652106084244
3012,3830,41346,41346,0.0001485347747802,265.46388443017656
3020,3840,41346,41346,0.0001516342163085,260.0377358490566
3025,3850,41346,41346,0.0001604557037353,245.74145616641903
3027,3860,41346,41346,0.0001499652862548,262.9316375198728
3031,3870,41346,41346,0.000169038772583,233.2637517630465
3039,3880,41346,41346,0.0001485347747802,265.46388443017656
3045,3890,41346,41346,0.0001819133758544,216.7549148099607
3046,3900,41346,27300,0.0001430511474609,182.0
3052,3910,41346,41346,0.0002205371856689,178.79351351351352
3058,3920,41346,41346,0.0001928806304931,204.4301606922126
3062,3930,41346,41346,0.0001509189605712,261.2701421800948
3069,3940,41346,41346,0.0001554489135742,253.6564417177914
3072,3950,41346,41346,0.0001494884490966,263.77033492822966
